Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=5 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_164809.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=5 | eps=0.300
[TabPFN sync] step=005 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.310 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.250 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.267
[TabPFN sync] step=005 | sigma | mode=std | envs=24 | points=423 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.203 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.223
[TabPFN sync] step=006 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.239 | gen_cycle_sec=0.651 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.386 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.411
[TabPFN sync] step=006 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.309 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.242 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.269
[TabPFN sync] step=006 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.313 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.245 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.273
[TabPFN sync] step=006 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.306 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.242 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.265
[TabPFN sync] step=006 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.242 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=006 | sigma | mode=std | envs=24 | points=448 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.238 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.257
[TabPFN sync] step=007 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.010 | gen_cycle_sec=0.412 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.379 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.402
[TabPFN sync] step=007 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.037 | gen_cycle_sec=0.319 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.255 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.281
[TabPFN sync] step=007 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.038 | gen_cycle_sec=0.320 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.252 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.281
[TabPFN sync] step=007 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.314 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.252 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.273
[TabPFN sync] step=007 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.321 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.255 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.280
