Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=2 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_152033.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=2 | eps=0.300
[TabPFN sync] step=012 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.009 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.832 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.861
[TabPFN sync] step=012 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.708 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.726
[TabPFN sync] step=012 | sigma | mode=std | envs=24 | points=161 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.123 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.141
[TabPFN sync] step=013 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.011 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.677 | postprocess_sec=0.019 | fallback_used=0 | fallback_reason=- | time_sec=0.708
[TabPFN sync] step=013 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.802 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.824
[TabPFN sync] step=013 | sigma | mode=std | envs=24 | points=215 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.604 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.625
[TabPFN sync] step=014 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.010 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.785 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.806
[TabPFN sync] step=014 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.044 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.775 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.803
[TabPFN sync] step=014 | sigma | mode=std | envs=24 | points=199 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.567 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.597
[TabPFN sync] step=015 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.010 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.690 | postprocess_sec=0.015 | fallback_used=0 | fallback_reason=- | time_sec=0.717
[TabPFN sync] step=015 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.843 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.867
[TabPFN sync] step=015 | sigma | mode=std | envs=24 | points=206 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.559 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.577
