Training config | heldout=DTLZ3 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=4 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=0.9900 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz3_set1_20260520_000018.txt
[Epoch 0001] start | set=1 | heldout=DTLZ3 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=4 | sur_steps=20 | eps=0.300
[TabPFN sync] step=001 | gen=007/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.882 | query_transform_sec=0.241 | batch_prepare_sec=2.899 | gpu_forward_sec=0.899 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.842
[TabPFN sync] step=001 | gen=008/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=3.883 | query_transform_sec=0.235 | batch_prepare_sec=2.900 | gpu_forward_sec=0.900 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.844
[TabPFN sync] step=001 | gen=009/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=4.538 | query_transform_sec=0.241 | batch_prepare_sec=3.538 | gpu_forward_sec=0.917 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=4.499
[TabPFN sync] step=001 | gen=010/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=3.850 | query_transform_sec=0.242 | batch_prepare_sec=2.875 | gpu_forward_sec=0.887 | postprocess_sec=0.034 | fallback_used=0 | fallback_reason=- | time_sec=3.808
[TabPFN sync] step=001 | gen=011/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.804 | query_transform_sec=0.239 | batch_prepare_sec=2.838 | gpu_forward_sec=0.881 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.763
[TabPFN sync] step=001 | gen=012/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=3.955 | query_transform_sec=0.240 | batch_prepare_sec=2.968 | gpu_forward_sec=0.906 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.918
[TabPFN sync] step=001 | gen=013/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.864 | query_transform_sec=0.238 | batch_prepare_sec=2.904 | gpu_forward_sec=0.875 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.823
[TabPFN sync] step=001 | gen=014/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.938 | query_transform_sec=0.258 | batch_prepare_sec=2.940 | gpu_forward_sec=0.913 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.897
[TabPFN sync] step=001 | gen=015/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.923 | query_transform_sec=0.247 | batch_prepare_sec=2.922 | gpu_forward_sec=0.915 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.882
[TabPFN sync] step=001 | gen=016/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=3.891 | query_transform_sec=0.241 | batch_prepare_sec=2.899 | gpu_forward_sec=0.906 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.849
[TabPFN sync] step=001 | gen=017/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.892 | query_transform_sec=0.246 | batch_prepare_sec=2.897 | gpu_forward_sec=0.910 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.851
[TabPFN sync] step=001 | gen=018/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=3.970 | query_transform_sec=0.251 | batch_prepare_sec=2.987 | gpu_forward_sec=0.896 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.927
[TabPFN sync] step=001 | gen=019/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=4.003 | query_transform_sec=0.244 | batch_prepare_sec=2.973 | gpu_forward_sec=0.946 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.963
[TabPFN sync] step=001 | gen=020/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.877 | query_transform_sec=0.248 | batch_prepare_sec=2.886 | gpu_forward_sec=0.906 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.836
[TabPFN sync] step=001 | sigma | mode=std | envs=24 | points=1399 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.231 | batch_prepare_sec=2.915 | gpu_forward_sec=0.915 | postprocess_sec=0.034 | fallback_used=0 | fallback_reason=- | time_sec=3.875
[DISC sync] step=002 | envs=24 | agent_forward_sec=0.355
[ENV sync] step=002 | envs=24 | surrogate_refit_sec=42.249 | tabpfn_refit_sec=42.249 | post_action_total_sec=42.868
[TabPFN sync] step=002 | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.017 | gen_cycle_sec=4.575 | query_transform_sec=0.464 | batch_prepare_sec=0.521 | gpu_forward_sec=3.945 | postprocess_sec=0.063 | fallback_used=0 | fallback_reason=- | time_sec=4.557
[TabPFN sync] step=002 | gen=002/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.080 | gen_cycle_sec=6.977 | query_transform_sec=0.473 | batch_prepare_sec=2.860 | gpu_forward_sec=3.950 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=6.896
[TabPFN sync] step=002 | gen=003/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.079 | gen_cycle_sec=4.527 | query_transform_sec=0.464 | batch_prepare_sec=0.525 | gpu_forward_sec=3.836 | postprocess_sec=0.058 | fallback_used=0 | fallback_reason=- | time_sec=4.447
[TabPFN sync] step=002 | gen=004/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.077 | gen_cycle_sec=7.111 | query_transform_sec=0.463 | batch_prepare_sec=3.022 | gpu_forward_sec=3.926 | postprocess_sec=0.058 | fallback_used=0 | fallback_reason=- | time_sec=7.033
