Training config | heldout=DTLZ3 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=8 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=0.9900 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz3_set1_20260520_002931.txt
[Epoch 0001] start | set=1 | heldout=DTLZ3 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=8 | sur_steps=20 | eps=0.300
[TabPFN sync] step=001 | gen=007/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.439 | query_transform_sec=0.484 | batch_prepare_sec=0.565 | gpu_forward_sec=1.738 | postprocess_sec=0.081 | fallback_used=0 | fallback_reason=- | time_sec=2.397
[TabPFN sync] step=001 | gen=008/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.439 | query_transform_sec=0.472 | batch_prepare_sec=0.535 | gpu_forward_sec=1.768 | postprocess_sec=0.079 | fallback_used=0 | fallback_reason=- | time_sec=2.395
[TabPFN sync] step=001 | gen=009/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.045 | gen_cycle_sec=2.463 | query_transform_sec=0.490 | batch_prepare_sec=0.553 | gpu_forward_sec=1.773 | postprocess_sec=0.078 | fallback_used=0 | fallback_reason=- | time_sec=2.417
[TabPFN sync] step=001 | gen=010/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.483 | query_transform_sec=0.492 | batch_prepare_sec=0.555 | gpu_forward_sec=1.796 | postprocess_sec=0.075 | fallback_used=0 | fallback_reason=- | time_sec=2.440
[TabPFN sync] step=001 | gen=011/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.465 | query_transform_sec=0.496 | batch_prepare_sec=0.553 | gpu_forward_sec=1.775 | postprocess_sec=0.081 | fallback_used=0 | fallback_reason=- | time_sec=2.422
[TabPFN sync] step=001 | gen=012/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.434 | query_transform_sec=0.487 | batch_prepare_sec=0.551 | gpu_forward_sec=1.742 | postprocess_sec=0.085 | fallback_used=0 | fallback_reason=- | time_sec=2.390
[TabPFN sync] step=001 | gen=013/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.453 | query_transform_sec=0.497 | batch_prepare_sec=0.560 | gpu_forward_sec=1.750 | postprocess_sec=0.086 | fallback_used=0 | fallback_reason=- | time_sec=2.410
[TabPFN sync] step=001 | gen=014/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.429 | query_transform_sec=0.489 | batch_prepare_sec=0.542 | gpu_forward_sec=1.740 | postprocess_sec=0.091 | fallback_used=0 | fallback_reason=- | time_sec=2.386
[TabPFN sync] step=001 | gen=015/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.424 | query_transform_sec=0.476 | batch_prepare_sec=0.540 | gpu_forward_sec=1.746 | postprocess_sec=0.084 | fallback_used=0 | fallback_reason=- | time_sec=2.382
[TabPFN sync] step=001 | gen=016/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=2.464 | query_transform_sec=0.479 | batch_prepare_sec=0.539 | gpu_forward_sec=1.795 | postprocess_sec=0.077 | fallback_used=0 | fallback_reason=- | time_sec=2.425
[TabPFN sync] step=001 | gen=017/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.439 | query_transform_sec=0.481 | batch_prepare_sec=0.553 | gpu_forward_sec=1.742 | postprocess_sec=0.090 | fallback_used=0 | fallback_reason=- | time_sec=2.397
[TabPFN sync] step=001 | gen=018/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.436 | query_transform_sec=0.474 | batch_prepare_sec=0.549 | gpu_forward_sec=1.742 | postprocess_sec=0.090 | fallback_used=0 | fallback_reason=- | time_sec=2.396
[TabPFN sync] step=001 | gen=019/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.044 | gen_cycle_sec=2.415 | query_transform_sec=0.488 | batch_prepare_sec=0.540 | gpu_forward_sec=1.744 | postprocess_sec=0.072 | fallback_used=0 | fallback_reason=- | time_sec=2.369
[TabPFN sync] step=001 | gen=020/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.390 | query_transform_sec=0.473 | batch_prepare_sec=0.526 | gpu_forward_sec=1.743 | postprocess_sec=0.067 | fallback_used=0 | fallback_reason=- | time_sec=2.348
[TabPFN sync] step=001 | sigma | mode=std | envs=24 | points=1472 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.470 | batch_prepare_sec=0.513 | gpu_forward_sec=1.743 | postprocess_sec=0.064 | fallback_used=0 | fallback_reason=- | time_sec=2.332
[DISC sync] step=002 | envs=24 | agent_forward_sec=0.289
[ENV sync] step=002 | envs=24 | surrogate_refit_sec=12.709 | tabpfn_refit_sec=12.709 | post_action_total_sec=13.186
[TabPFN sync] step=002 | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.017 | gen_cycle_sec=2.552 | query_transform_sec=0.503 | batch_prepare_sec=0.568 | gpu_forward_sec=1.881 | postprocess_sec=0.072 | fallback_used=0 | fallback_reason=- | time_sec=2.534
[TabPFN sync] step=002 | gen=002/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.411 | query_transform_sec=0.494 | batch_prepare_sec=0.536 | gpu_forward_sec=1.751 | postprocess_sec=0.071 | fallback_used=0 | fallback_reason=- | time_sec=2.370
[TabPFN sync] step=002 | gen=003/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=2.397 | query_transform_sec=0.482 | batch_prepare_sec=0.530 | gpu_forward_sec=1.747 | postprocess_sec=0.068 | fallback_used=0 | fallback_reason=- | time_sec=2.358
[TabPFN sync] step=002 | gen=004/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=2.387 | query_transform_sec=0.479 | batch_prepare_sec=0.520 | gpu_forward_sec=1.742 | postprocess_sec=0.073 | fallback_used=0 | fallback_reason=- | time_sec=2.347
[TabPFN sync] step=002 | gen=005/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.426 | query_transform_sec=0.473 | batch_prepare_sec=0.548 | gpu_forward_sec=1.742 | postprocess_sec=0.079 | fallback_used=0 | fallback_reason=- | time_sec=2.383
[TabPFN sync] step=002 | gen=006/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.415 | query_transform_sec=0.474 | batch_prepare_sec=0.541 | gpu_forward_sec=1.744 | postprocess_sec=0.075 | fallback_used=0 | fallback_reason=- | time_sec=2.373
[TabPFN sync] step=002 | gen=007/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.591 | query_transform_sec=0.655 | batch_prepare_sec=0.711 | gpu_forward_sec=1.745 | postprocess_sec=0.080 | fallback_used=0 | fallback_reason=- | time_sec=2.549
[TabPFN sync] step=002 | gen=008/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.430 | query_transform_sec=0.479 | batch_prepare_sec=0.549 | gpu_forward_sec=1.743 | postprocess_sec=0.082 | fallback_used=0 | fallback_reason=- | time_sec=2.387
[TabPFN sync] step=002 | gen=009/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.427 | query_transform_sec=0.481 | batch_prepare_sec=0.545 | gpu_forward_sec=1.750 | postprocess_sec=0.075 | fallback_used=0 | fallback_reason=- | time_sec=2.383
[TabPFN sync] step=002 | gen=010/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.403 | query_transform_sec=0.474 | batch_prepare_sec=0.526 | gpu_forward_sec=1.745 | postprocess_sec=0.075 | fallback_used=0 | fallback_reason=- | time_sec=2.360
[TabPFN sync] step=002 | gen=011/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=2.434 | query_transform_sec=0.476 | batch_prepare_sec=0.553 | gpu_forward_sec=1.743 | postprocess_sec=0.085 | fallback_used=0 | fallback_reason=- | time_sec=2.394
[TabPFN sync] step=002 | gen=012/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.430 | query_transform_sec=0.481 | batch_prepare_sec=0.554 | gpu_forward_sec=1.744 | postprocess_sec=0.078 | fallback_used=0 | fallback_reason=- | time_sec=2.388
[TabPFN sync] step=002 | gen=013/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.398 | query_transform_sec=0.472 | batch_prepare_sec=0.521 | gpu_forward_sec=1.744 | postprocess_sec=0.077 | fallback_used=0 | fallback_reason=- | time_sec=2.354
[TabPFN sync] step=002 | gen=014/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.422 | query_transform_sec=0.480 | batch_prepare_sec=0.547 | gpu_forward_sec=1.745 | postprocess_sec=0.076 | fallback_used=0 | fallback_reason=- | time_sec=2.380
[TabPFN sync] step=002 | gen=015/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.433 | query_transform_sec=0.475 | batch_prepare_sec=0.549 | gpu_forward_sec=1.748 | postprocess_sec=0.082 | fallback_used=0 | fallback_reason=- | time_sec=2.391
[TabPFN sync] step=002 | gen=016/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.428 | query_transform_sec=0.478 | batch_prepare_sec=0.550 | gpu_forward_sec=1.744 | postprocess_sec=0.079 | fallback_used=0 | fallback_reason=- | time_sec=2.385
