Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=10 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260516_134517.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=10 | eps=0.300
[TabPFN sync] step=005 | sigma | mode=std | envs=24 | points=1434 | dim=25 | objective_contexts=66 | time_sec=12.970
[TabPFN sync] step=006 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.275
[TabPFN sync] step=006 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.302
[TabPFN sync] step=006 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.284
[TabPFN sync] step=006 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.836
[TabPFN sync] step=006 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.345
[TabPFN sync] step=006 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.937
[TabPFN sync] step=006 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.526
[TabPFN sync] step=006 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.731
[TabPFN sync] step=006 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.790
[TabPFN sync] step=006 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=18.335
[TabPFN sync] step=006 | sigma | mode=std | envs=24 | points=1415 | dim=25 | objective_contexts=66 | time_sec=13.562
[TabPFN sync] step=007 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.369
[TabPFN sync] step=007 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.791
[TabPFN sync] step=007 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.765
[TabPFN sync] step=007 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.994
[TabPFN sync] step=007 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.516
[TabPFN sync] step=007 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.982
[TabPFN sync] step=007 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.126
[TabPFN sync] step=007 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.575
[TabPFN sync] step=007 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.427
[TabPFN sync] step=007 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.273
[TabPFN sync] step=007 | sigma | mode=std | envs=24 | points=1414 | dim=25 | objective_contexts=66 | time_sec=13.819
[TabPFN sync] step=008 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.096
[TabPFN sync] step=008 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.712
[TabPFN sync] step=008 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.844
[TabPFN sync] step=008 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.874
[TabPFN sync] step=008 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.127
[TabPFN sync] step=008 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.639
[TabPFN sync] step=008 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.498
[TabPFN sync] step=008 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.003
[TabPFN sync] step=008 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.388
[TabPFN sync] step=008 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=18.498
[TabPFN sync] step=008 | sigma | mode=std | envs=24 | points=1408 | dim=25 | objective_contexts=66 | time_sec=15.776
[TabPFN sync] step=009 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.290
[TabPFN sync] step=009 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.746
[TabPFN sync] step=009 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.383
[TabPFN sync] step=009 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.841
[TabPFN sync] step=009 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.867
[TabPFN sync] step=009 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.247
[TabPFN sync] step=009 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.033
[TabPFN sync] step=009 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.367
[TabPFN sync] step=009 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.472
[TabPFN sync] step=009 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.462
[TabPFN sync] step=009 | sigma | mode=std | envs=24 | points=1421 | dim=25 | objective_contexts=66 | time_sec=16.525
[TabPFN sync] step=010 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.124
[TabPFN sync] step=010 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.232
[TabPFN sync] step=010 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.580
[TabPFN sync] step=010 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.812
[TabPFN sync] step=010 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.913
[TabPFN sync] step=010 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.916
[TabPFN sync] step=010 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.162
[TabPFN sync] step=010 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.017
[TabPFN sync] step=010 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.111
[TabPFN sync] step=010 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.316
[TabPFN sync] step=010 | sigma | mode=std | envs=24 | points=1398 | dim=25 | objective_contexts=66 | time_sec=17.830
[TabPFN sync] step=011 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.461
[TabPFN sync] step=011 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.336
[TabPFN sync] step=011 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=18.177
[TabPFN sync] step=011 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.059
[TabPFN sync] step=011 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.090
[TabPFN sync] step=011 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.549
[TabPFN sync] step=011 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.073
[TabPFN sync] step=011 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.466
[TabPFN sync] step=011 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.605
[TabPFN sync] step=011 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.181
[TabPFN sync] step=011 | sigma | mode=std | envs=24 | points=1374 | dim=25 | objective_contexts=66 | time_sec=16.628
[TabPFN sync] step=012 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.061
[TabPFN sync] step=012 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.381
[TabPFN sync] step=012 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.648
[TabPFN sync] step=012 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.223
[TabPFN sync] step=012 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.248
[TabPFN sync] step=012 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.333
